finn_car_id,product_brand,purchasing_model,purchasing_model_line,product_fuel,helper_subscription_handover_date,product_body_type,delivery_compound_location
0a0jlxzj,Opel,Crossland,Edition,Benzin,,SUV,compound_blg_saalanderdonau
0a4q0kww,Renault,Koleos,Intens,Benzin,2022-10-24,SUV,compound_rrg_eching
0a5aqavf,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
0a5o8f6t,Audi,Q3,S line,Benzin (mild-hybrid),,SUV,compound_akb_kitzingen
0a6jwfvb,Nissan,Qashqai,Acenta,Benzin (mild-hybrid),2022-06-02,SUV,compound_blg_d2c_atn2_neuss
0a7djzt0,Audi,Q2,S line,Benzin,,SUV,compound_akb_kitzingen
0a7msx05,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
0a11yxnr,Peugeot,e-208,GT,Elektro,,Limousine,compound_akb_kitzingen
0a17yk74,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
0a360ul3,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
0aaruj5v,Nissan,Qashqai,Tekna,Benzin (mild-hybrid),,SUV,compound_blg_d2c_atn2_neuss
0aatajg9,BMW,iX3,Impressive,Elektro,,SUV,compound_akb_kitzingen
0abv8436,Polestar,2,Long Range Dual Motor,Elektro,2023-01-16,Limousine,dealer_parkhausp12bahnhofnord_rosenheim
0acsdd5u,Tesla,Model 3,Long Range,Elektro,2022-10-17,Limousine,compound_akb_kitzingen
0adkqi1j,Audi,A3 Limousine,S line,Benzin (mild-hybrid),2022-09-19,Limousine,compound_akb_kitzingen
0afsshge,Fiat,500,Lounge,Benzin (mild-hybrid),2022-10-25,Kleinwagen,compound_mosolf_ketzin
0ah861zm,Audi,Q3,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0aj4wpxi,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
0akuemot,Jeep,Compass,Limited,Benzin,2022-09-07,SUV,compound_mosolf_kippenheim
0an09pbu,Tesla,Model 3,Long Range,Elektro,2022-10-10,Limousine,compound_akb_kitzingen
0anbzlbw,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_kitzingen
0ap9cail,Audi,A6 Avant,sport,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
0aqt4dmb,Jeep,Compass,Limited,Benzin,2022-10-25,SUV,compound_mosolf_kippenheim
0aqu9orc,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
0araqjt4,Jeep,Compass,Limited,Benzin,2022-12-13,SUV,compound_mosolf_kippenheim
0asdveu9,BMW,X3,Modell Luxury Line,Benzin,,SUV,compound_akb_schoeneck
0atm1xi7,Tesla,Model 3,Partieller Premium-Innenraum,Elektro,,Limousine,compound_akb_schoeneck
0atsobez,Seat,Alhambra,FR-Line,Benzin,2023-02-01,Van,compound_akb_kitzingen
0auq4zus,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0avgjuii,Opel,Crossland,Innovation,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0awprgxu,BMW,X1,Basisvariante,Benzin,2022-07-11,SUV,compound_akb_kitzingen
0axntvzg,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0azq4apk,Mitsubishi,Eclipse Cross,Plus,Plug-In-Hybrid,2022-10-21,SUV,compound_blg_d2c_neuss
0b3b0t32,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0b4gaqx3,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
0b4mv357,Opel,Zafira Life,Edition M,Diesel,2022-03-01,Van,dealer_siebrecht_d2c_uslar
0b17m8tu,Tesla,Model 3,Long Range,Elektro,2022-11-24,Limousine,compound_akb_kitzingen
0b528gua,Opel,Zafira Life,Edition M,Diesel,2022-08-25,Van,compound_blg_saalanderdonau
0b4077pz,Nissan,Qashqai,Acenta,Benzin (mild-hybrid),2022-04-04,SUV,compound_blg_d2c_atn2_neuss
0ba38ffd,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
0bdd86fy,Opel,Crossland,Elegance,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0bdjt7oc,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_kitzingen
0bexqapu,Aiways,U5,Premium,Elektro,,SUV,compound_blg_saalanderdonau
0bfqhorn,Jeep,Compass,S,Plug-In-Hybrid,,SUV,compound_mosolf_ketzin
0bg1i856,Jeep,Compass,Limited,Benzin,2022-06-21,SUV,compound_mosolf_kippenheim
0biiurjz,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0bm8tosy,Mitsubishi,Eclipse Cross,Select,Plug-In-Hybrid,2022-10-06,SUV,compound_blg_d2c_neuss
0bq8r2fe,MINI,5 Türer,Classic Trim,Benzin,,Limousine,compound_akb_schoeneck
