,zipcode,lat,long,state,state_code,community_name,community_code,coor,AKB Kitzingen,AKB Dortmund,AKB Zörbig,AKB Schöneck,AKB Buch,Mosolf Etzin,Mosolf Kippenheim,BLG Kelheim,BLG Duisburg,BLG Neuss,Carservice Erkens,ARS Altmann Wolnzach,CAT Zülpich,Autohaus Siebrecht,Neu: FleetParQ Essen ,Neu: FleetParQ Kassel
0,1067,51.0547,13.7269,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0547, 13.7269)",373.6034,516.3855,155.6969,460.8576,511.04540000000003,247.45839999999998,643.6581,359.6564,595.4666,584.3385999999999,622.4407,405.6545,617.2199,354.5481,553.0373000000001,350.31870000000004
1,1069,51.043,13.7373,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.043, 13.7373)",380.4436,523.2257,162.5371,467.6978,517.8856,249.3465,650.4983000000001,366.4966,602.3068000000001,591.1788,629.2809,412.4947,624.0600999999999,361.3883,559.8775,357.1589
2,1097,51.0714,13.7399,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0714, 13.7399)",374.84340000000003,517.6255,156.93689999999998,462.0976,512.2854,245.4639,644.8981,360.8964,596.7066,585.5785999999999,623.6807,406.8945,618.4599000000001,355.7881,554.2773000000001,351.5587
3,1099,51.0783,13.8051,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0783, 13.8051)",379.4751,522.2573,161.5686,466.7294,516.9171,248.9628,649.5298,365.5282,601.3384,590.2103000000001,628.3124,411.5262,623.0916,360.4198,558.909,356.1905
4,1108,51.15573333333333,13.782466666666666,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.15573333333333, 13.782466666666666)",388.4731,531.2552,170.5666,475.7273,525.9150999999999,248.4455,658.5278000000001,374.5261,610.3363,599.2083,637.3104000000001,420.5242,632.0896,369.4178,567.907,365.1884
5,1109,51.1164,13.7468,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.1164, 13.7468)",377.97209999999995,520.7542,160.06560000000002,465.2263,515.4141,240.2382,648.0268000000001,364.02509999999995,599.8353000000001,588.7073,626.8094,410.02320000000003,621.5885999999999,358.91679999999997,557.406,354.6875
6,1127,51.079,13.7208,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.079, 13.7208)",372.358,515.1401,154.4515,459.61220000000003,509.8,245.0762,642.4127,358.411,594.2212,583.0931999999999,621.1953000000001,404.40909999999997,615.9744000000001,353.3027,551.7919,349.07329999999996
7,1129,51.0967,13.736,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0967, 13.736)",375.3701,518.1522,157.4636,462.6243,512.8121,241.8749,645.4248,361.4231,597.2333000000001,586.1053,624.2074,407.4212,618.9866,356.3148,554.804,352.0855
8,1139,51.0836,13.6981,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0836, 13.6981)",370.6035,513.3856,152.697,457.8577,508.0455,245.33020000000002,640.6582,356.6565,592.4667,581.3386999999999,619.4408000000001,402.65459999999996,614.22,351.5482,550.0374,347.31890000000004
9,1156,51.04942,13.62143,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.04942, 13.62143)",370.0342,512.8163,152.1277,457.2884,507.4762,258.067,640.0889,356.0872,591.8974000000001,580.7694,618.8715,402.08529999999996,613.6506999999999,350.9789,549.4680999999999,346.7496
