,zipcode,state,AKB Kitzingen,AKB Dortmund,AKB Zörbig,AKB Schöneck,AKB Buch,Mosolf Etzin,Mosolf Kippenheim,BLG Kelheim,BLG Duisburg,BLG Neuss,Carservice Erkens,ARS Altmann Wolnzach,CAT Zülpich,Autohaus Siebrecht,Neu: FleetParQ Essen ,Neu: FleetParQ Kassel
0,1067,Sachsen,373.6034,516.3855,155.6969,460.8576,511.0454,247.4584,643.6581,359.6564,595.4666,584.3385999999999,622.4407,405.6545,617.2199,354.5481,553.0373000000001,350.31870000000004
1,1069,Sachsen,380.4436,523.2257,162.5371,467.6978,517.8856,249.3465,650.4983000000001,366.4966,602.3068000000001,591.1788,629.2809,412.4947,624.0600999999999,361.3883,559.8775,357.1589
2,1097,Sachsen,374.8434,517.6255,156.93689999999998,462.0976,512.2854,245.4639,644.8981,360.8964,596.7066,585.5785999999999,623.6807,406.8945,618.4599000000001,355.7881,554.2773000000001,351.5587
3,1099,Sachsen,379.4751,522.2573,161.5686,466.7294,516.9171,248.9628,649.5298,365.5282,601.3384,590.2103000000001,628.3124,411.5262,623.0916,360.4198,558.909,356.1905
4,1108,Sachsen,388.4731,531.2552,170.5666,475.7273,525.9150999999999,248.4455,658.5278000000001,374.5261,610.3363,599.2083,637.3104000000001,420.5242,632.0896,369.4178,567.907,365.1884
5,1109,Sachsen,377.9721,520.7542,160.06560000000002,465.2263,515.4141,240.2382,648.0268000000001,364.0251,599.8353000000001,588.7073,626.8094,410.0232,621.5885999999999,358.9168,557.406,354.6875
6,1127,Sachsen,372.358,515.1401,154.4515,459.6122,509.8,245.0762,642.4127,358.411,594.2212,583.0931999999999,621.1953000000001,404.4091,615.9744000000001,353.3027,551.7919,349.0733
7,1129,Sachsen,375.3701,518.1522,157.4636,462.6243,512.8121,241.8749,645.4248,361.4231,597.2333000000001,586.1053,624.2074,407.4212,618.9866,356.3148,554.804,352.0855
8,1139,Sachsen,370.6035,513.3856,152.697,457.8577,508.0455,245.3302,640.6582,356.6565,592.4667,581.3386999999999,619.4408000000001,402.6546,614.22,351.5482,550.0374,347.31890000000004
9,1156,Sachsen,370.0342,512.8163,152.1277,457.2884,507.4762,258.067,640.0889,356.0872,591.8974000000001,580.7694,618.8715,402.0853,613.6506999999999,350.9789,549.4680999999999,346.7496
10,1157,Sachsen,368.7324,511.5145,150.8258,455.9866,506.1744000000001,249.3071,638.787,354.78540000000004,590.5956,579.4675,617.5696999999999,400.7834,612.3488000000001,349.6771,548.1663000000001,345.4477
11,1159,Sachsen,373.0472,515.8293,155.1406,460.3014,510.4891,250.1193,643.1018,359.10020000000003,594.9104,583.7823000000001,621.8845,405.0982,616.6636,353.99190000000004,552.4811,349.7625
12,1169,Sachsen,372.1931,514.9752,154.2865,459.4473,509.6351,250.3846,642.2478000000001,358.2461,594.0563000000001,582.9282,621.0304,404.2442,615.8095,353.1378,551.627,348.90840000000003
13,1187,Sachsen,373.7006,516.4828,155.7941,460.9549,511.1426,252.2673,643.7553,359.75370000000004,595.5639,584.4358000000001,622.5379,405.7517,617.3171,354.6453,553.1345,350.416
14,1189,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
15,1217,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
16,1219,Sachsen,383.025,525.8072,165.1185,470.2793,520.467,252.4052,653.0797,369.0781,604.8883000000001,593.7601999999999,631.8623,415.0761,626.6415,363.9697,562.4589,359.7404
17,1237,Sachsen,383.8645,526.6465999999999,165.9579,471.1187,521.3064,254.721,653.9191,369.9175,605.7276999999999,594.5996,632.7018,415.9155,627.4809,364.8092,563.2984,360.5798
18,1239,Sachsen,382.8696,525.6517,164.963,470.1238,520.3115,255.7186,652.9241999999999,368.9226,604.7328,593.6047,631.7068,414.9206,626.486,363.8142,562.3034,359.5849
19,1257,Sachsen,383.7097,526.4918,165.8032,470.9639,521.1517,255.153,653.7644,369.7627,605.5729,594.4449000000001,632.547,415.7608,627.3261,364.6544,563.1436,360.425
20,1259,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
21,1277,Sachsen,379.1216,521.9037,161.215,466.3758,516.5636,250.3891,649.1763000000001,365.1746,600.9848000000001,589.8566999999999,627.9589,411.1727,622.738,360.0663,558.5555,355.8369
22,1279,Sachsen,378.8719,521.654,160.96529999999998,466.1261,516.3138,250.1394,648.9265,364.9249,600.7351,589.607,627.7092,410.9229,622.4883000000001,359.8166,558.3058000000001,355.5872
23,1307,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
24,1309,Sachsen,378.427,521.2092,160.5205,465.6813,515.869,249.0457,648.4816999999999,364.4801,600.2903,589.1622,627.2643,410.4781,622.0435,359.37170000000003,557.8609,355.1424
25,1324,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
26,1326,Sachsen,381.1629,523.945,163.25629999999998,468.4171,518.6048,250.6241,651.2175,367.2159,603.0260999999999,591.898,630.0001,413.2139,624.7793,362.1075,560.5966999999999,357.8782
27,1328,Sachsen,376.3107,519.0929,158.4042,463.565,513.7527,248.2476,646.3654,362.3638,598.174,587.0459000000001,625.148,408.3618,619.9272,357.2554,555.7446,353.0261
28,1445,Sachsen,374.3645,517.1465999999999,156.4579,461.6187,511.8065,246.9701,644.4191999999999,360.4175,596.2276999999999,585.0996,623.2018,406.4156,617.9809,355.30920000000003,553.7984,351.0798
29,1454,Sachsen,392.8804,535.6625,174.97379999999998,480.1346,530.3223,252.8528,662.935,378.9334,614.7436,603.6155,641.7176999999999,424.9314,636.4968,373.8251,572.3143,369.5957
30,1458,Sachsen,386.3215,529.1036,168.415,473.5757,523.7635,246.294,656.3761999999999,372.3745,608.1846999999999,597.0567,635.1588,418.3726,629.938,367.2662,565.7554,363.0369
31,1465,Sachsen,380.0998,522.882,162.1933,467.3541,517.5418,249.5875,650.1545,366.1529000000001,601.9630999999999,590.835,628.9371,412.1509,623.7163,361.0445,559.5337,356.8152
32,1468,Sachsen,385.1165,527.8986,167.2099,472.3707,522.5585,236.8352,655.1712,371.1695,606.9797,595.8516,633.9538,417.1676,628.7329,366.0612,564.5504,361.8318
33,1471,Sachsen,387.4196,530.2017,169.513,474.6738,524.8616,228.9702,657.4743000000001,373.4726,609.2828000000001,598.1546999999999,636.2569,419.4707,631.036,368.3643,566.8535,364.1349
34,1477,Sachsen,408.1922,550.9743000000001,190.2857,495.4464,545.6342,268.16459999999995,678.2469,394.2452,630.0554000000001,618.9274,657.0295,440.2433,651.8086,389.1369,587.6261,384.9075
35,1558,Sachsen,383.8085,512.5026,151.8139,471.0627,521.2504,231.2173,653.8631,369.8615,591.5836999999999,580.4556,618.5578,415.8595,627.0441999999999,350.6652,549.1544,346.4358
36,1561,Sachsen,404.0914,518.7804,158.0917,491.3456,541.5333,222.7274,674.146,390.1444,597.8615,586.7334000000001,624.8356,436.1424,647.7078,356.943,555.4322,352.7136
37,1587,Sachsen,379.3583,491.1938,130.5051,464.1673,516.8003,257.961,649.413,365.4113,570.2749,559.1468000000001,597.2489,411.4094,605.7354,329.3563,527.8455,325.127
38,1589,Sachsen,380.5149,492.1686,131.48,465.1422,517.9569,184.6367,650.5695999999999,366.5679,571.2497,560.1216999999999,598.2238000000001,412.566,606.7102,330.3312,528.8204000000001,326.1018
39,1591,Sachsen,379.5906,491.2444,130.5557,464.2179,517.0326,258.0117,649.6453,365.6437,570.3255,559.1974,597.2995999999999,411.6417,605.786,329.407,527.8961999999999,325.1776
40,1594,Sachsen,373.8048,489.5443,128.85569999999998,461.059,511.2467,256.3116,643.8594,359.8578,568.6254,557.4974,595.5995,405.8558,604.0859,327.7069,526.1961,323.4775
41,1609,Sachsen,386.3153,506.4801,145.79139999999998,479.4536,523.7573,173.5882,656.37,372.3684,585.5612,574.4331,612.5353,418.3664,621.0217,344.6427,543.1319,340.4133
42,1612,Sachsen,381.007,501.1717,140.4831,474.1453,518.4489,241.7309,651.0616,367.06,580.2528000000001,569.1248,607.2269,413.058,615.7133,339.3343,537.8235,335.10490000000004
43,1616,Sachsen,375.199,479.904,119.2154,452.8776,512.641,174.4935,645.2537,361.252,558.9851,547.8571,585.9592,407.2501,594.4456,318.0666,516.5558,313.8372
