,Unnamed: 0,zipcode,lat,long,state,state_code,community_name,community_code,coor,AKB Kitzingen,AKB Dortmund,AKB Zörbig,AKB Schöneck,AKB Buch,Mosolf Etzin,Mosolf Kippenheim,BLG Kelheim,BLG Duisburg,BLG Neuss,Carservice Erkens,ARS Altmann Wolnzach,CAT Zülpich,Autohaus Siebrecht,Neu: FleetParQ Essen ,Neu: FleetParQ Kassel
0,0,1067,51.0547,13.7269,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0547, 13.7269)",373603.4,516385.5,155696.9,460857.6,511045.4,247458.4,643658.1,359656.4,595466.6,584338.6,622440.7,405654.5,617219.9,354548.1,553037.3,350318.7
1,1,1069,51.043,13.7373,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.043, 13.7373)",380443.6,523225.7,162537.1,467697.8,517885.6,249346.5,650498.3,366496.6,602306.8,591178.8,629280.9,412494.7,624060.1,361388.3,559877.5,357158.9
2,2,1097,51.0714,13.7399,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0714, 13.7399)",374843.4,517625.5,156936.9,462097.6,512285.4,245463.9,644898.1,360896.4,596706.6,585578.6,623680.7,406894.5,618459.9,355788.1,554277.3,351558.7
3,3,1099,51.0783,13.8051,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0783, 13.8051)",379475.1,522257.3,161568.6,466729.4,516917.1,248962.8,649529.8,365528.2,601338.4,590210.3,628312.4,411526.2,623091.6,360419.8,558909.0,356190.5
4,4,1108,51.15573333333333,13.782466666666666,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.15573333333333, 13.782466666666666)",388473.1,531255.2,170566.6,475727.3,525915.1,248445.5,658527.8,374526.1,610336.3,599208.3,637310.4,420524.2,632089.6,369417.8,567907.0,365188.4
5,5,1109,51.1164,13.7468,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.1164, 13.7468)",377972.1,520754.2,160065.6,465226.3,515414.1,240238.2,648026.8,364025.1,599835.3,588707.3,626809.4,410023.2,621588.6,358916.8,557406.0,354687.5
6,6,1127,51.079,13.7208,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.079, 13.7208)",372358.0,515140.1,154451.5,459612.2,509800.0,245076.2,642412.7,358411.0,594221.2,583093.2,621195.3,404409.1,615974.4,353302.7,551791.9,349073.3
7,7,1129,51.0967,13.736,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0967, 13.736)",375370.1,518152.2,157463.6,462624.3,512812.1,241874.9,645424.8,361423.1,597233.3,586105.3,624207.4,407421.2,618986.6,356314.8,554804.0,352085.5
8,8,1139,51.0836,13.6981,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0836, 13.6981)",370603.5,513385.6,152697.0,457857.7,508045.5,245330.2,640658.2,356656.5,592466.7,581338.7,619440.8,402654.6,614220.0,351548.2,550037.4,347318.9
9,9,1156,51.04942,13.62143,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.04942, 13.62143)",370034.2,512816.3,152127.7,457288.4,507476.2,258067.0,640088.9,356087.2,591897.4,580769.4,618871.5,402085.3,613650.7,350978.9,549468.1,346749.6
10,10,1157,51.0707,13.6729,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0707, 13.6729)",368732.4,511514.5,150825.8,455986.6,506174.4,249307.1,638787.0,354785.4,590595.6,579467.5,617569.7,400783.4,612348.8,349677.1,548166.3,345447.7
11,11,1159,51.0452,13.6996,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0452, 13.6996)",373047.2,515829.3,155140.6,460301.4,510489.1,250119.3,643101.8,359100.2,594910.4,583782.3,621884.5,405098.2,616663.6,353991.9,552481.1,349762.5
12,12,1169,51.0443,13.6738,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0443, 13.6738)",372193.1,514975.2,154286.5,459447.3,509635.1,250384.6,642247.8,358246.1,594056.3,582928.2,621030.4,404244.2,615809.5,353137.8,551627.0,348908.4
13,13,1187,51.0281,13.6943,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.0281, 13.6943)",373700.6,516482.8,155794.1,460954.9,511142.6,252267.3,643755.3,359753.7,595563.9,584435.8,622537.9,405751.7,617317.1,354645.3,553134.5,350416.0
14,14,1189,51.05,13.75,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.05, 13.75)",376310.7,519092.9,158404.2,463565.0,513752.7,248247.6,646365.4,362363.8,598174.0,587045.9,625148.0,408361.8,619927.2,357255.4,555744.6,353026.1
15,15,1217,51.05,13.75,Sachsen,SN,Kreisfreie Stadt Dresden,14612.0,"(51.05, 13.75)",376310.7,519092.9,158404.2,463565.0,513752.7,248247.6,646365.4,362363.8,598174.0,587045.9,625148.0,408361.8,619927.2,357255.4,555744.6,353026.1
